site_id,lat,lon,elev_m,dist_river_m,pop_served,base_risk,flooded_2021
342,3.3642,102.4766,38.9959,2645.3546,575.0,0.4003,0
343,3.3597,102.4802,37.9067,2004.0356,662.0,0.4684,0
344,3.3543,102.4459,38.587,211.2445,1382.0,0.5214,0
345,3.456,102.6172,32.9982,107.7084,1224.0,0.6184,0
346,3.2047,102.6107,75.3862,7156.503,341.0,0.0111,0
347,3.4818,102.6112,20.1321,0.0,2005.0,0.9007,0
348,3.3197,102.6093,39.6986,3914.6496,840.0,0.3654,0
349,3.5694,102.6585,17.1505,4287.8408,910.0,0.9439,1
350,3.2042,102.4797,49.0633,10208.7724,780.0,0.1451,0
351,3.4338,102.6122,28.3634,595.2209,873.0,0.8154,0
352,3.3086,102.4587,29.3636,1115.4279,3164.0,0.7853,0
353,3.5953,102.6679,25.2076,7034.8668,607.0,0.7002,0
354,3.5239,102.6883,30.4977,790.9003,592.0,0.7355,0
355,3.5046,102.1363,100.076,1990.9317,781.0,0.001,0
356,3.4078,102.5122,39.1638,2324.2026,851.0,0.4818,0
357,3.4061,102.5576,29.011,600.454,608.0,0.7236,0
358,3.5092,102.385,31.6923,2190.6674,1948.0,0.6926,0
359,3.5489,102.5344,35.9812,5409.9588,1550.0,0.4447,0
360,3.4823,102.1398,53.5747,275.4112,875.0,0.1685,0
361,3.4774,102.1372,48.8005,570.7155,906.0,0.2057,0
362,3.4834,102.1111,65.1897,174.1852,1676.0,0.0534,0
363,3.3286,102.4489,19.5,0.0,2316.0,0.9022,0
364,3.6704,102.5438,71.7267,11511.4102,556.0,0.0135,0
365,3.5333,102.4927,38.3393,5912.0405,1417.0,0.3947,1
366,3.5343,102.524,67.2226,5389.5917,2268.0,0.0292,0
367,3.5238,102.4144,31.5,1787.5776,2234.0,0.6497,0
368,3.4987,102.5859,55.9915,1256.0576,2185.0,0.1098,0
369,3.4794,102.1177,64.3693,718.1856,1453.0,0.0464,0
370,3.5353,102.5837,40.8477,804.3205,935.0,0.4283,0
371,3.5998,102.3853,65.8302,1980.0462,1160.0,0.0378,0
372,3.5157,102.5868,73.0194,1464.9477,1601.0,0.0189,0
373,3.6888,102.6143,54.0489,11163.792,1337.0,0.0822,0
374,3.5238,102.584,28.8556,836.9463,1271.0,0.6996,0
375,3.6992,102.3712,52.2173,774.871,3210.0,0.1512,0
376,3.5284,102.5441,59.1729,3585.1165,1162.0,0.0781,0
377,3.5083,102.4207,40.6123,1101.6298,3309.0,0.4465,0
378,3.4868,102.4056,44.5202,1999.6711,4340.0,0.2917,0
379,3.5221,102.5916,23.7366,644.8461,1134.0,0.8098,0
380,3.5674,102.3908,51.6053,1254.5907,2151.0,0.1737,0
381,3.675,102.5425,61.7731,11452.1706,713.0,0.0375,0
382,3.5565,102.3917,40.569,1318.7462,1948.0,0.386,0
383,3.4204,102.5968,24.2634,1496.3606,695.0,0.9066,1
384,3.4582,102.458,36.8999,2031.5773,7897.0,0.4583,0
385,3.4396,102.4475,44.3621,1052.3677,8706.0,0.3311,0
386,3.2587,102.5863,34.5098,4465.4198,2155.0,0.4934,0
387,3.5162,102.5771,43.4267,868.346,1715.0,0.3384,0
388,3.5835,102.5179,58.9812,8194.2828,1501.0,0.0574,0
389,3.6322,102.651,35.3395,11296.5353,647.0,0.3963,0
390,3.6962,102.6011,77.5683,10840.4791,1699.0,0.0074,0
391,3.6787,102.609,36.7032,12378.5229,1094.0,0.348,0
392,3.5325,102.6674,29.174,149.3588,934.0,0.7601,0
393,3.4964,102.1974,57.4489,467.5757,1850.0,0.1186,0
394,3.5452,102.1961,89.894,2815.7015,647.0,0.0029,0
395,3.5296,102.2402,58.8744,2369.1182,403.0,0.0748,0
396,3.4252,102.429,39.7635,298.7341,8503.0,0.5089,0
397,3.4415,102.4411,44.1979,639.3136,11900.0,0.3541,0
398,3.5273,102.211,70.6796,1189.6345,604.0,0.0242,0
399,3.5178,102.695,24.939,328.5919,600.0,0.8411,0
400,3.5204,102.6924,16.8966,597.439,599.0,0.9482,1
401,3.2619,102.5724,48.165,2900.4188,1552.0,0.1979,0
402,3.5182,102.1827,78.4509,1362.6995,2442.0,0.0106,0
403,3.4339,102.4291,41.1212,389.4999,15892.0,0.4224,0
404,3.2763,102.2346,81.7002,8719.8443,845.0,0.0055,0
405,3.2689,102.2353,65.7068,8404.4848,855.0,0.0288,0
406,3.5867,102.6216,38.1393,6593.5579,627.0,0.375,0
407,3.5866,102.623,33.7576,6578.7232,632.0,0.4887,0
408,3.5071,102.3686,37.5803,2303.2574,1677.0,0.4831,0
